,Unnamed: 0,공공민간구분,날씨,온도,시설물 분류,작업프로세스,사망자,20이상 30미만 사망자,30이상 40미만 사망자,40이상 50미만 사망자,50이상 60미만 사망자,60이상 사망자,부상자,20이상 30미만 부상자,30이상 40미만 부상자,40이상 50미만 부상자,50이상 60미만 부상자,60이상 부상자,공정율,설계안정성검토,Month,Time,사고종류,공종,공사규모_0-5,공사규모_5-10,공사규모_10-30,공사규모_30-50,공사규모_50-100,공사규모_100-500,공사규모_500-1000,공사규모_1000-,공사기간
17,17,공공,맑음,25.0,산업환경설비,운반작업,0,0,0,0,0,0,1,0,0,1,0,0,20~29%,대상,7.0,9.0,충돌,토공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0
18,18,민간,맑음,30.0,공동주택,이동,0,0,0,0,0,0,1,0,0,0,1,0,10~19%,비대상,7.0,9.0,넘어짐,토공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,772.0
19,19,민간,맑음,25.0,공동주택,전기작업,0,0,0,0,0,0,1,0,0,1,0,0,90% 이상,비대상,7.0,10.0,떨어짐,설비공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,638.0
20,20,공공,맑음,24.4,기타 건축,정리작업,0,0,0,0,0,0,1,1,0,0,0,0,30~39%,비대상,7.0,10.0,물체에 맞음,가설공사,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21,21,민간,흐림,30.0,공동주택,설치작업,0,0,0,0,0,0,1,0,0,1,0,0,10~19%,비대상,7.0,11.0,"절단, 베임",콘크리트공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,945.0
22,22,민간,맑음,24.0,공동주택,해체작업,0,0,0,0,0,0,1,0,0,1,0,0,90% 이상,비대상,7.0,11.0,끼임,해체 및 재활용공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0
23,23,민간,맑음,23.0,토목,정리작업,0,0,0,0,0,0,1,0,1,0,0,0,90% 이상,대상,7.0,11.0,떨어짐,토공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2082.0
24,24,민간,맑음,26.0,공동주택,해체작업,0,0,0,0,0,0,1,0,0,1,0,0,60~69%,비대상,7.0,12.0,떨어짐,가설공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,525.0
25,25,공공,맑음,25.0,토목,설치작업,0,0,0,0,0,0,1,0,0,0,1,0,50~59%,비대상,7.0,13.0,물체에 맞음,가설공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,132.0
26,26,민간,맑음,29.3,토목,해체작업,0,0,0,0,0,0,1,0,0,0,0,1,50~59%,비대상,7.0,14.0,넘어짐,토공사,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
27,27,공공,맑음,32.0,조경,정리작업,0,0,0,0,0,0,1,0,1,0,0,0,60~69%,대상,7.0,14.0,기타,기타공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1440.0
28,28,민간,맑음,24.4,기타 건축,마감작업,0,0,0,0,0,0,1,0,0,1,0,0,90% 이상,비대상,7.0,15.0,떨어짐,금속공사,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095.0
29,29,민간,맑음,29.4,기타 건축,조립작업,0,0,0,0,0,0,1,0,0,0,0,1,50~59%,비대상,7.0,15.0,떨어짐,콘크리트공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,364.0
30,30,공공,맑음,29.0,토목,이동,0,0,0,0,0,0,1,0,0,1,0,0,70~79%,대상,7.0,15.0,넘어짐,기타공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,332.0
31,31,민간,흐림,24.0,기타 건축,형틀 및 목공,0,0,0,0,0,0,1,0,0,0,0,1,30~39%,비대상,7.0,10.0,떨어짐,콘크리트공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,345.0
32,32,공공,맑음,26.0,토목,설치작업,0,0,0,0,0,0,1,0,0,0,1,0,60~69%,대상,7.0,10.0,"절단, 베임",관공사,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0
33,33,공공,맑음,23.0,기타 건축,타설작업,0,0,0,0,0,0,1,0,0,0,1,0,60~69%,비대상,7.0,10.0,부딪힘,내외벽공사,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,34,공공,맑음,24.0,토목,절단작업,0,0,0,0,0,0,1,0,0,0,1,0,50~59%,비대상,7.0,10.0,"절단, 베임",관공사,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,639.0
35,35,민간,안개,25.0,공동주택,해체작업,0,0,0,0,0,0,1,0,0,0,0,1,10~19%,비대상,7.0,11.0,떨어짐,해체 및 재활용공사,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,274.0
36,36,민간,맑음,28.0,공동주택,형틀 및 목공,0,0,0,0,0,0,1,0,0,0,1,0,70~79%,비대상,7.0,11.0,넘어짐,콘크리트공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,548.0
37,37,민간,맑음,30.0,공동주택,해체작업,0,0,0,0,0,0,1,0,0,1,0,0,90% 이상,비대상,7.0,14.0,물체에 맞음,콘크리트공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,674.0
38,38,민간,흐림,30.0,공장,절단작업,0,0,0,0,0,0,1,0,0,0,0,1,80~89%,비대상,7.0,14.0,기타,기타공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,331.0
39,39,민간,강우,24.0,기타 건축,형틀 및 목공,0,0,0,0,0,0,1,0,0,0,0,1,30~39%,비대상,7.0,14.0,물체에 맞음,콘크리트공사,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,179.0
40,40,공공,맑음,24.0,토목,매설작업,0,0,0,0,0,0,1,0,0,0,1,0,80~89%,비대상,7.0,14.0,"절단, 베임",관공사,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,385.0
41,41,공공,맑음,24.0,기타 건축,준비작업,0,0,0,0,0,0,1,0,0,0,1,0,30~39%,대상,7.0,15.0,"절단, 베임",콘크리트공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,608.0
42,42,민간,맑음,28.0,공동주택,해체작업,0,0,0,0,0,0,1,0,0,1,0,0,80~89%,비대상,7.0,15.0,떨어짐,해체 및 재활용공사,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,121.0
43,43,공공,맑음,28.0,기타 건축,해체작업,0,0,0,0,0,0,1,0,0,1,0,0,60~69%,대상,7.0,15.0,물체에 맞음,콘크리트공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,166.0
44,44,공공,강우,22.0,토목,운반작업,0,0,0,0,0,0,1,1,0,0,0,0,80~89%,비대상,7.0,15.0,넘어짐,토목공사,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,391.0
45,45,민간,맑음,23.0,공장,운반작업,0,0,0,0,0,0,1,0,0,0,1,0,90% 이상,비대상,7.0,16.0,끼임,기타공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,730.0
46,46,민간,맑음,30.0,공동주택,운반작업,0,0,0,0,0,0,1,0,0,0,1,0,20~29%,비대상,7.0,16.0,기타,콘크리트공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,942.0
47,47,공공,맑음,25.0,공동주택,설치작업,0,0,0,0,0,0,1,0,0,1,0,0,10~19%,대상,7.0,16.0,넘어짐,가설공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0
48,48,민간,맑음,26.0,기타 건축,설비작업,1,0,0,0,0,1,0,0,0,0,0,0,40~49%,비대상,7.0,20.0,떨어짐,설비공사,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,442.0
49,49,민간,흐림,22.0,기타 건축,해체작업,0,0,0,0,0,0,1,0,0,1,0,0,90% 이상,비대상,7.0,7.0,넘어짐,철골공사,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0
50,50,공공,맑음,22.0,기타 건축,해체작업,0,0,0,0,0,0,1,0,0,1,0,0,90% 이상,비대상,7.0,7.0,떨어짐,해체 및 재활용공사,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
51,51,민간,맑음,26.0,공동주택,해체작업,1,0,0,1,0,0,0,0,0,0,0,0,70~79%,비대상,7.0,8.0,끼임,해체 및 재활용공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0
52,52,민간,흐림,25.0,공장,해체작업,0,0,0,0,0,0,1,0,0,1,0,0,70~79%,비대상,7.0,9.0,물체에 맞음,해체 및 재활용공사,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
53,53,공공,맑음,26.0,기타 건축,조립작업,0,0,0,0,0,0,1,0,0,0,1,0,10~19%,비대상,7.0,9.0,끼임,가설공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,603.0
54,54,민간,맑음,30.0,공동주택,이동,0,0,0,0,0,0,1,0,0,0,0,1,10~19%,비대상,7.0,9.0,넘어짐,방수 및 방습공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,714.0
55,55,미입력,맑음,25.0,기타 건축,마감작업,0,0,0,0,0,0,1,0,0,0,0,0,50~59%,비대상,7.0,10.0,떨어짐,미장공사,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0
56,56,공공,맑음,21.0,토목,이동,0,0,0,0,0,0,1,0,1,0,0,0,60~69%,비대상,7.0,11.0,넘어짐,콘크리트공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,75.0
57,57,민간,안개,26.0,공장,기타,0,0,0,0,0,0,1,1,0,0,0,0,80~89%,비대상,7.0,11.0,물체에 맞음,토공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,454.0
58,58,민간,맑음,30.0,공동주택,타설작업,0,0,0,0,0,0,1,1,0,0,0,0,60~69%,대상,7.0,13.0,기타,기타공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1171.0
59,59,민간,맑음,33.0,기타 건축,해체작업,1,1,0,0,0,0,3,0,1,0,0,2,30~39%,비대상,7.0,14.0,깔림,해체 및 재활용공사,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60,민간,맑음,20.0,공동주택,청소작업,0,0,0,0,0,0,1,0,0,0,1,0,10~19%,비대상,7.0,15.0,넘어짐,콘크리트공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,911.0
61,61,공공,맑음,33.0,공동주택,설치작업,0,0,0,0,0,0,1,0,0,0,1,0,10% 미만,대상,7.0,16.0,넘어짐,토공사,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,102.0
62,62,민간,흐림,28.0,기타 건축,해체작업,0,0,0,0,0,0,1,0,0,0,0,1,40~49%,비대상,7.0,16.0,넘어짐,철골공사,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,548.0
63,63,민간,맑음,28.0,공장,미입력,0,0,0,0,0,0,1,0,1,0,0,0,80~89%,비대상,7.0,16.0,떨어짐,설비공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,516.0
64,64,민간,맑음,26.0,공동주택,마감작업,0,0,0,0,0,0,1,0,0,0,1,0,50~59%,비대상,7.0,18.0,넘어짐,콘크리트공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,714.0
65,65,공공,맑음,26.0,기타 건축,마감작업,0,0,0,0,0,0,1,1,0,0,0,0,40~49%,비대상,7.0,8.0,"절단, 베임",기타공사,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,47.0
66,66,공공,맑음,24.0,토목,굴착작업,1,0,0,0,1,0,0,0,0,0,0,0,90% 이상,대상,7.0,9.0,질병,토공사,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,132.0
67,67,공공,맑음,24.0,토목,조립작업,0,0,0,0,0,0,1,0,0,0,0,1,90% 이상,대상,7.0,10.0,물체에 맞음,콘크리트공사,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1565.0
68,68,민간,맑음,28.0,공동주택,보수 및 교체작업,0,0,0,0,0,0,1,0,0,0,0,0,50~59%,비대상,7.0,10.0,끼임,방수 및 방습공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,761.0
69,69,민간,맑음,24.0,기타 건축,연결작업,0,0,0,0,0,0,1,0,0,1,0,0,90% 이상,비대상,7.0,11.0,"절단, 베임",콘크리트공사,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0
70,70,민간,맑음,25.0,기타 건축,이동,0,0,0,0,0,0,1,1,0,0,0,0,20~29%,비대상,7.0,11.0,떨어짐,콘크리트공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,780.0
71,71,공공,맑음,29.0,조경,미입력,0,0,0,0,0,0,1,0,0,0,0,1,90% 이상,대상,7.0,11.0,넘어짐,토공사,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
72,72,민간,강우,33.0,공동주택,인양작업,0,0,0,0,0,0,1,0,1,0,0,0,80~89%,비대상,7.0,11.0,물체에 맞음,가설공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
73,73,공공,맑음,28.0,기타 건축,절단작업,0,0,0,0,0,0,1,0,0,1,0,0,90% 이상,비대상,7.0,11.0,"절단, 베임",기타공사,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
74,74,민간,맑음,25.0,산업환경설비,정리작업,0,0,0,0,0,0,1,0,0,0,0,1,20~29%,비대상,7.0,12.0,물체에 맞음,기타공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,820.0
75,75,민간,안개,25.0,기타 건축,타설작업,0,0,0,0,0,0,1,0,0,0,1,0,70~79%,비대상,7.0,13.0,"절단, 베임",콘크리트공사,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,561.0
76,76,공공,맑음,28.0,기타 건축,설치작업,0,0,0,0,0,0,1,0,0,1,0,0,90% 이상,비대상,7.0,13.0,넘어짐,콘크리트공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,296.0
77,77,민간,맑음,30.0,기타 건축,설비작업,0,0,0,0,0,0,1,0,0,0,1,0,80~89%,비대상,7.0,13.0,"절단, 베임",내외벽공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,395.0
78,78,미입력,맑음,26.0,기타 건축,절단작업,0,0,0,0,0,0,1,0,0,0,0,0,90% 이상,대상,7.0,15.0,기타,기타공사,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
79,79,민간,흐림,28.0,기타 건축,해체작업,0,0,0,0,0,0,1,0,0,0,0,0,30~39%,비대상,7.0,15.0,떨어짐,해체 및 재활용공사,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0
80,80,민간,맑음,26.0,공동주택,용접작업,0,0,0,0,0,0,1,0,0,0,1,0,30~39%,비대상,7.0,15.0,넘어짐,가설공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,122.0
81,81,민간,맑음,33.0,공동주택,굴착작업,0,0,0,0,0,0,1,0,0,0,0,1,90% 이상,대상,7.0,16.0,넘어짐,토공사,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,273.0
82,82,민간,맑음,25.0,공장,설치작업,0,0,0,0,0,0,1,0,0,1,0,0,80~89%,비대상,7.0,16.0,끼임,가설공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,309.0
83,83,공공,맑음,33.0,토목,정비작업,1,0,0,0,1,0,0,0,0,0,0,0,60~69%,대상,7.0,17.0,질병,토목공사,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,152.0
84,84,공공,흐림,28.0,공동주택,설치작업,0,0,0,0,0,0,1,0,0,0,1,0,10~19%,대상,7.0,8.0,"절단, 베임",가설공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,175.0
85,85,민간,흐림,27.0,공동주택,기타,0,0,0,0,0,0,1,0,0,1,0,0,70~79%,비대상,7.0,9.0,떨어짐,조적공사,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
86,86,공공,맑음,26.0,토목,굴착작업,0,0,0,0,0,0,1,0,0,0,0,1,70~79%,대상,7.0,10.0,넘어짐,토공사,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0
87,87,민간,맑음,29.0,공동주택,부설 및 다짐작업,0,0,0,0,0,0,1,1,0,0,0,0,90% 이상,비대상,7.0,10.0,넘어짐,내외벽공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,699.0
88,88,공공,맑음,28.0,기타 건축,설치작업,0,0,0,0,0,0,1,0,0,0,1,0,10% 미만,비대상,7.0,11.0,기타,콘크리트공사,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
89,89,공공,맑음,33.0,토목,미입력,1,0,0,1,0,0,0,0,0,0,0,0,60~69%,대상,7.0,13.0,깔림,토공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1731.0
90,90,공공,흐림,34.0,산업환경설비,운반작업,0,0,0,0,0,0,1,0,0,0,1,0,10~19%,대상,7.0,14.0,넘어짐,콘크리트공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,221.0
91,91,민간,흐림,29.0,공동주택,이동,0,0,0,0,0,0,1,0,0,1,0,0,70~79%,비대상,7.0,14.0,기타,미장공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
92,92,민간,맑음,30.0,기타 건축,설치작업,0,0,0,0,0,0,2,0,0,2,0,0,90% 이상,비대상,7.0,14.0,떨어짐,기타공사,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
93,93,공공,맑음,33.6,기타 건축,조립작업,0,0,0,0,0,0,1,0,0,0,0,1,40~49%,비대상,7.0,14.0,충돌,콘크리트공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,183.0
94,94,공공,맑음,32.0,기타 건축,해체작업,0,0,0,0,0,0,1,0,0,0,0,1,20~29%,대상,7.0,15.0,물체에 맞음,해체 및 재활용공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,243.0
95,95,민간,맑음,0.0,공동주택,운반작업,0,0,0,0,0,0,1,0,0,0,1,0,10~19%,비대상,7.0,16.0,기타,가설공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,791.0
96,96,민간,맑음,30.0,공장,조립작업,0,0,0,0,0,0,1,0,0,1,0,0,40~49%,비대상,7.0,16.0,떨어짐,수장공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,207.0
97,97,민간,맑음,29.0,기타 건축,정리작업,0,0,0,0,0,0,1,0,0,1,0,0,90% 이상,비대상,7.0,7.0,넘어짐,콘크리트공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1034.0
98,98,공공,맑음,22.0,토목,이동,1,0,0,0,1,0,0,0,0,0,0,0,10% 미만,대상,7.0,11.0,떨어짐,기타공사,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
99,99,민간,흐림,25.0,공동주택,정리작업,0,0,0,0,0,0,1,0,0,0,0,1,20~29%,대상,7.0,15.0,넘어짐,기타공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1096.0
100,100,민간,흐림,25.0,기타 건축,준비작업,0,0,0,0,0,0,1,0,1,0,0,0,70~79%,비대상,7.0,7.0,끼임,콘크리트공사,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,230.0
101,101,민간,맑음,25.0,공동주택,쌓기작업,0,0,0,0,0,0,1,0,1,0,0,0,10~19%,비대상,7.0,7.0,"절단, 베임",기타공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,518.0
102,102,민간,맑음,26.0,공동주택,마감작업,0,0,0,0,0,0,1,0,0,0,1,0,40~49%,대상,7.0,8.0,기타,기타공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,978.0
103,103,공공,맑음,25.0,기타 건축,운반작업,0,0,0,0,0,0,1,0,0,0,1,0,10~19%,대상,7.0,8.0,기타,설비공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,599.0
104,104,공공,흐림,22.0,기타 건축,조립작업,0,0,0,0,0,0,1,0,0,0,1,0,10% 미만,비대상,7.0,8.0,물체에 맞음,콘크리트공사,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,152.0
105,105,민간,맑음,24.0,공동주택,해체작업,0,0,0,0,0,0,1,0,0,0,1,0,30~39%,비대상,7.0,8.0,끼임,기타공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,853.0
106,106,공공,맑음,28.0,토목,운반작업,0,0,0,0,0,0,1,0,0,1,0,0,70~79%,대상,7.0,9.0,기타,관공사,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1152.0
107,107,민간,맑음,28.0,기타 건축,설치작업,0,0,0,0,0,0,1,0,0,0,1,0,40~49%,비대상,7.0,9.0,기타,콘크리트공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,319.0
108,108,민간,맑음,25.0,공동주택,보수 및 교체작업,0,0,0,0,0,0,1,0,0,1,0,0,10% 미만,비대상,7.0,9.0,끼임,기타공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,324.0
109,109,공공,맑음,27.0,공동주택,운반작업,0,0,0,0,0,0,1,0,0,1,0,0,40~49%,대상,7.0,10.0,기타,타일 및 테라코타공사,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,424.0
110,110,민간,흐림,22.0,공동주택,해체작업,0,0,0,0,0,0,1,0,0,1,0,0,10~19%,비대상,7.0,10.0,기타,가설공사,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
111,111,민간,흐림,30.0,기타 건축,기타,1,0,0,0,1,0,1,0,0,0,1,0,90% 이상,비대상,7.0,10.0,교통사고,기타공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
112,112,공공,맑음,33.0,토목,인양작업,0,0,0,0,0,0,1,0,0,0,0,1,90% 이상,대상,7.0,13.0,기타,기타공사,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0
113,113,공공,맑음,24.0,기타 건축,용접작업,0,0,0,0,0,0,1,0,0,0,1,0,70~79%,비대상,7.0,14.0,끼임,가설공사,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,142.0
114,114,민간,맑음,25.0,공동주택,이동,0,0,0,0,0,0,1,0,0,0,0,1,20~29%,비대상,7.0,15.0,넘어짐,콘크리트공사,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,782.0
115,115,민간,맑음,27.0,공동주택,마감작업,0,0,0,0,0,0,1,0,0,0,0,1,80~89%,비대상,7.0,15.0,부딪힘,미장공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,487.0
116,116,공공,흐림,26.0,공동주택,마감작업,0,0,0,0,0,0,1,0,0,1,0,0,70~79%,대상,7.0,15.0,넘어짐,미장공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,713.0
117,117,미입력,맑음,30.0,토목,청소작업,0,0,0,0,0,0,1,0,0,0,0,0,90% 이상,비대상,7.0,16.0,끼임,기타공사,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,760.0
